批判理論	批 判 理 論
岭岗	岭 岗
强扭的瓜不甜	强 扭 的 瓜 不 甜
𡲩	𡲩
傳神	傳 神
逆乱	逆 乱
疑心病	疑 心 病
洋地黄	洋 地 黄
腳法	腳 法
橋躉	橋 躉
服务处	服 务 处
血腥	血 腥
安乃近	安 乃 近
冲凉房	冲 凉 房
领取	领 取
屯	屯
違令	違 令
音速	音 速
亚运会	亚 运 会
天文物理學	天 文 物 理 學
無韻詩	無 韻 詩
東歐平原	東 歐 平 原
闇雞	闇 雞
走學	走 學
牆錶	牆 錶
重申	重 申
安裝	安 裝
照原	照 原
迎敌	迎 敌
澳洲坚果	澳 洲 坚 果
举动	举 动
头皮发麻	头 皮 发 麻
黃油	黃 油
九九六	九 九 六
圣战者	圣 战 者
國界	國 界
小题大做	小 题 大 做
油粿	油 粿
黑烟	黑 烟
免疫抑制劑	免 疫 抑 制 劑
檻門	檻 門
水發	水 發
模糊音	模 糊 音
郵購	郵 購
輕狂	輕 狂
訓點	訓 點
䏏	䏏
如履平地	如 履 平 地
種族滅絕	種 族 滅 絕
勸說	勸 說
男盜女娼	男 盜 女 娼
卡朋特	卡 朋 特
摩鍊	摩 鍊
孔夫子	孔 夫 子
司马晋	司 马 晋
称霸	称 霸
桌面	桌 面
圣经带	圣 经 带
干簧管	干 簧 管
导热	导 热
日晒雨淋	日 晒 雨 淋
空間科學	空 間 科 學
鐵甏	鐵 甏
豎心邊	豎 心 邊
演化生物学	演 化 生 物 学
经济体制	经 济 体 制
抗炎药	抗 炎 药
陾	陾
釪	釪
鹵簿	鹵 簿
主队	主 队
陈家冲	陈 家 冲
傻呵呵	傻 呵 呵
鰐魚	鰐 魚
耳挖勺	耳 挖 勺
機器曲	機 器 曲
杂食动物	杂 食 动 物
默證	默 證
焉知	焉 知
皮損	皮 損
三角铁	三 角 铁
且權	且 權
无赐鸡	无 赐 鸡
無人駕駛飛機	無 人 駕 駛 飛 機
专有名词	专 有 名 词
白鹭鸶	白 鹭 鸶
活跃分子	活 跃 分 子
不发达国家	不 发 达 国 家
屁股眼儿	屁 股 眼 儿
䆀剃头	䆀 剃 头
返哺	返 哺
麀鹿	麀 鹿
专美	专 美
实鼻	实 鼻
无机物	无 机 物
晉南	晉 南
金蕉	金 蕉
質因數	質 因 數
幸事	幸 事
炒贵刁	炒 贵 刁
鳸	鳸
文凭试	文 凭 试
詩梳風	詩 梳 風
聯合收割機	聯 合 收 割 機
交叉点	交 叉 点
顶棚	顶 棚
板头	板 头
颈阔肌	颈 阔 肌
水煮肉	水 煮 肉
男壘	男 壘
堤防	堤 防
映画	映 画
檡	檡
電話號碼	電 話 號 碼
药材	药 材
妈祖庙	妈 祖 庙
䮏	䮏
弹丸	弹 丸
柱心边	柱 心 边
胡骑	胡 骑
麦芽膏	麦 芽 膏
根腳	根 腳
憲兵隊	憲 兵 隊
𠁕	𠁕
藤椅	藤 椅
公厠	公 厠
操你妈	操 你 妈
小阴沙	小 阴 沙
露齿而笑	露 齿 而 笑
万事如意	万 事 如 意
颈强直	颈 强 直
装扮	装 扮
章京	章 京
周旋	周 旋
坂户	坂 户
頁勒蓋兒	頁 勒 蓋 兒
穆圣	穆 圣
龙家沟	龙 家 沟
哨片	哨 片
整死	整 死
圣克里斯多福与尼维斯	圣 克 里 斯 多 福 与 尼 维 斯
租金	租 金
車仔麵	車 仔 麵
羊城	羊 城
藹然可親	藹 然 可 親
咪摸	咪 摸
姨丈	姨 丈
㔼	㔼
抽头	抽 头
滿姑媽	滿 姑 媽
下重	下 重
柏崎	柏 崎
轱辘子	轱 辘 子
巨大無比	巨 大 無 比
漏單	漏 單
哀毀瘠立	哀 毀 瘠 立
放蛇	放 蛇
吝	吝
大葱头	大 葱 头
山高皇帝遠	山 高 皇 帝 遠
憧憬	憧 憬
新人房	新 人 房
離支	離 支
后首来	后 首 来
生存率	生 存 率
妒忌	妒 忌
参赛者	参 赛 者
弯	弯
渗透	渗 透
撙	撙
落寞	落 寞
羊肠小径	羊 肠 小 径
穀粒	穀 粒
俗称	俗 称
官守	官 守
臯	臯
活該	活 該
代幣券	代 幣 券
陰私	陰 私
試工	試 工
椰子水	椰 子 水
環己二烯	環 己 二 烯
同母異父	同 母 異 父
羥化	羥 化
本草綱目	本 草 綱 目
獨食	獨 食
記蟀	記 蟀
一分	一 分
若翰	若 翰
賓夕法尼亞	賓 夕 法 尼 亞
縑帛	縑 帛
離異	離 異
侃侃而谈	侃 侃 而 谈
碢	碢
光輝燦爛	光 輝 燦 爛
岵	岵
拒毒	拒 毒
旭	旭
磕碰	磕 碰
賣身契	賣 身 契
幕府	幕 府
小題大作	小 題 大 作
蕔	蕔
锁匙佬	锁 匙 佬
蕶	蕶
安艺高田	安 艺 高 田
黑命贵	黑 命 贵
元芳，你怎麼看	元 芳 ， 你 怎 麼 看
颔颈仔	颔 颈 仔
𬲩	𬲩
独鲁万	独 鲁 万
约安	约 安
青虫	青 虫
凸函数	凸 函 数
大骨節病	大 骨 節 病
捣毁	捣 毁
𣝗	𣝗
十位	十 位
杜賓	杜 賓
比爾博	比 爾 博
旅签	旅 签
使氣	使 氣
盃	盃
纽耳	纽 耳
冻肉	冻 肉
來去	來 去
景帝	景 帝
核检	核 检
後真相	後 真 相
精靈	精 靈
保衞者	保 衞 者
生殺予奪	生 殺 予 奪
花盤	花 盤
鴪	鴪
禿瘡	禿 瘡
食俗	食 俗
㲋	㲋
遷葬	遷 葬
筆受	筆 受
凝固	凝 固
旁皇	旁 皇
𬒔	𬒔
唞	唞
官腔	官 腔
利落	利 落
天使用戶	天 使 用 戶
重磅新闻	重 磅 新 闻
脐带绕颈	脐 带 绕 颈
海森堡不确定性原理	海 森 堡 不 确 定 性 原 理
山口	山 口
自立為王	自 立 為 王
年青	年 青
連江	連 江
西岭	西 岭
迎面	迎 面
掛砲	掛 砲
猪兜	猪 兜
頭虱	頭 虱
鹽霜	鹽 霜
課長	課 長
外快	外 快
測速計	測 速 計
偏方	偏 方
瘉	瘉
粵省	粵 省
小山	小 山
财产性	财 产 性
伊斯兰祈祷团	伊 斯 兰 祈 祷 团
花鰱魚	花 鰱 魚
錢崗一	錢 崗 一
白刃	白 刃
實綫	實 綫
主動性	主 動 性
艸	艸
禪	禪
牛羚	牛 羚
想盡	想 盡
卡片	卡 片
養蛇食雞	養 蛇 食 雞
及格	及 格
沉澱	沉 澱
詩史試時市事	詩 史 試 時 市 事
奶羊	奶 羊
韻事	韻 事
胡搅蛮缠	胡 搅 蛮 缠
避税天堂	避 税 天 堂
一通百通	一 通 百 通
火腿	火 腿
小數	小 數
自娛	自 娛
甘納許	甘 納 許
组队	组 队
膽礬	膽 礬
騪	騪
首次公開發行	首 次 公 開 發 行
担纲	担 纲
市级	市 级
现人	现 人
義理巧克力	義 理 巧 克 力
殿后	殿 后
失惊	失 惊
鱉裙	鱉 裙
茅仔草	茅 仔 草
適齡	適 齡
鹣	鹣
飲宴	飲 宴
熱搜	熱 搜
维基化	维 基 化
加课	加 课
否德	否 德
黃皮果	黃 皮 果
瘋狗浪	瘋 狗 浪
摩星	摩 星
刀箭	刀 箭
拍饶	拍 饶
西布倫	西 布 倫
土脈	土 脈
护肤	护 肤
扁平足	扁 平 足
達里雅布依	達 里 雅 布 依
追本溯源	追 本 溯 源
筛子	筛 子
性别歧视	性 别 歧 视
上床	上 床
同声传译	同 声 传 译
亏待	亏 待
尿片子	尿 片 子
冒头	冒 头
署长	署 长
二氧芑	二 氧 芑
虛發	虛 發
假说	假 说
鈔	鈔
不明飛行物體	不 明 飛 行 物 體
成圣	成 圣
当其时	当 其 时
摩卡色	摩 卡 色
计划赶不上变化	计 划 赶 不 上 变 化
棋手	棋 手
出聲兒	出 聲 兒
抽心介	抽 心 介
千拄千	千 拄 千
元妃	元 妃
公花	公 花
工料	工 料
科西嘉	科 西 嘉
準確度	準 確 度
純度	純 度
猴	猴
葛饰	葛 饰
洲际弹道导弹	洲 际 弹 道 导 弹
岁声	岁 声
空間群	空 間 群
得承	得 承
中南财经政法大学南湖	中 南 财 经 政 法 大 学 南 湖
打马胶	打 马 胶
荷属东印度	荷 属 东 印 度
覺悟性	覺 悟 性
纳卯	纳 卯
簡易	簡 易
獵犬座	獵 犬 座
襪統	襪 統
进口	进 口
和平主义	和 平 主 义
左輪手槍	左 輪 手 槍
衆院	衆 院
无可比拟	无 可 比 拟
閩南人	閩 南 人
世業	世 業
藥茶鍋	藥 茶 鍋
僰文	僰 文
黑糖	黑 糖
危言	危 言
石锅	石 锅
三十二	三 十 二
打呼	打 呼
實習醫生	實 習 醫 生
矢志	矢 志
畀心机	畀 心 机
鏢局	鏢 局
匙羹	匙 羹
勐腊	勐 腊
上津	上 津
朋寮	朋 寮
烟士	烟 士
贝桑松	贝 桑 松
柏林墙	柏 林 墙
說起	說 起
緻密	緻 密
墨线	墨 线
天上人間	天 上 人 間
羥苯甲酯	羥 苯 甲 酯
称谓	称 谓
鹅仔菜	鹅 仔 菜
馬齒豆	馬 齒 豆
温泉	温 泉
𤞏	𤞏
海邊仔	海 邊 仔
花蛤	花 蛤
足額	足 額
結冤仇	結 冤 仇
钟落潭	钟 落 潭
短统袜	短 统 袜
觌	觌
一見傾心	一 見 傾 心
吗啡	吗 啡
破獍	破 獍
裙腳仔	裙 腳 仔
乐于	乐 于
涀	涀
洗衣房	洗 衣 房
酒店業	酒 店 業
拟定	拟 定
薰絲	薰 絲
封齋	封 齋
四拇指头	四 拇 指 头
肚里惹	肚 里 惹
烧伤	烧 伤
塍蛤仔躘	塍 蛤 仔 躘
天哪	天 哪
桃園結義	桃 園 結 義
滿城風雨	滿 城 風 雨
滔天	滔 天
鳊	鳊
獻花	獻 花
界音符号	界 音 符 号
冤家	冤 家
待詔鋪子	待 詔 鋪 子
蝲䗁絲網	蝲 䗁 絲 網
長襪	長 襪
尋呼機	尋 呼 機
歸葬	歸 葬
名著	名 著
鉅著	鉅 著
包乾制	包 乾 制
守株待兔	守 株 待 兔
雄馬	雄 馬
柴米油鹽醬醋茶	柴 米 油 鹽 醬 醋 茶
𤊶翻企	𤊶 翻 企
黥首	黥 首
口水战	口 水 战
伯樂樹	伯 樂 樹
以小见大	以 小 见 大
瀕危	瀕 危
陬月	陬 月
作业治疗	作 业 治 疗
極子	極 子
归途	归 途
國道	國 道
大吡叻	大 吡 叻
监利	监 利
次子	次 子
國土安全	國 土 安 全
祁連	祁 連
號咷	號 咷
嚀個	嚀 個
驚弓之鳥	驚 弓 之 鳥
阿啾箭	阿 啾 箭
航空信	航 空 信
莊子	莊 子
大赦	大 赦
恭谒	恭 谒
辦公檯	辦 公 檯
纯合子	纯 合 子
嶨	嶨
立意	立 意
霽	霽
適格	適 格
上半晌兒	上 半 晌 兒
贵贱	贵 贱
备餐	备 餐
葱花	葱 花
虛榮心	虛 榮 心
拔罐儿	拔 罐 儿
中餐厅	中 餐 厅
沙沒沙空	沙 沒 沙 空
长凳	长 凳
辅佐	辅 佐
涂水	涂 水
𠀋	𠀋
扭	扭
一总	一 总
对对糊	对 对 糊
月薪	月 薪
憯懍	憯 懍
後金	後 金
圆周率	圆 周 率
咯咯笑	咯 咯 笑
扛抬	扛 抬
乌梢蛇	乌 梢 蛇
按說	按 說
手面工课	手 面 工 课
春宫儿	春 宫 儿
老姥娘	老 姥 娘
黃澄澄	黃 澄 澄
额门	额 门
師母	師 母
花徑	花 徑
四重奏	四 重 奏
慘景	慘 景
掌牛	掌 牛
腦溢血	腦 溢 血
獨腳戲	獨 腳 戲
漁佬	漁 佬
衣衫藍褸	衣 衫 藍 褸
癔症	癔 症
变聋	变 聋
踆烏	踆 烏
回音	回 音
牛頭	牛 頭
北極點	北 極 點
卒业生	卒 业 生
彭州	彭 州
叆叇	叆 叇
邮递	邮 递
身心障碍	身 心 障 碍
甲沟炎	甲 沟 炎
跤頭趺	跤 頭 趺
报失	报 失
起重器	起 重 器
青睞	青 睞
定海	定 海
贵	贵
本兒	本 兒
果不其然	果 不 其 然
南朝鲜	南 朝 鲜
十五個吊桶打水——七上八下	十 五 個 吊 桶 打 水 — — 七 上 八 下
理由兒	理 由 兒
無所不能	無 所 不 能
鼻涕蟲	鼻 涕 蟲
福禄	福 禄
突厥语系	突 厥 语 系
点声	点 声
细肠	细 肠
勾引	勾 引
缝仔	缝 仔
穿鑿	穿 鑿
怀冤抱屈	怀 冤 抱 屈
正经八百	正 经 八 百
扫帚	扫 帚
岚城	岚 城
穀米	穀 米
奥兰多	奥 兰 多
声纳	声 纳
畢宿	畢 宿
鉤骨	鉤 骨
至親	至 親
喪病	喪 病
礼物	礼 物
睪丸	睪 丸
喫菸	喫 菸
防僞	防 僞
险固	险 固
賞心悅目	賞 心 悅 目
疫症	疫 症
心适	心 适
蕚	蕚
據指	據 指
鴨嫲	鴨 嫲
貴姓	貴 姓
學歷工廠	學 歷 工 廠
鱯	鱯
混淪	混 淪
房圈	房 圈
搝索仔	搝 索 仔
欢聚一堂	欢 聚 一 堂
線苕	線 苕
牆紙	牆 紙
打圈圈	打 圈 圈
规身躯	规 身 躯
㠴	㠴
蒙特卡洛	蒙 特 卡 洛
一等奖	一 等 奖
吃酒	吃 酒
一氧化物	一 氧 化 物
冷却	冷 却
熟視無睹	熟 視 無 睹
挫動	挫 動
教範	教 範
𩩍條骨	𩩍 條 骨
猶子	猶 子
顶门心	顶 门 心
青龙	青 龙
感嘆號	感 嘆 號
胖大海	胖 大 海
薦臻	薦 臻
巖邑	巖 邑
地綫	地 綫
銲接	銲 接
腕管綜合症	腕 管 綜 合 症
延长号	延 长 号
家庭主婦	家 庭 主 婦
鴨母蹄	鴨 母 蹄
扬蝶铰仔	扬 蝶 铰 仔
喫饭	喫 饭
合軀	合 軀
陰門	陰 門
衫短裤阔人矮鼻直	衫 短 裤 阔 人 矮 鼻 直
饿死	饿 死
劉備借荊州——一借冇回頭	劉 備 借 荊 州 — — 一 借 冇 回 頭
呁	呁
白粥	白 粥
戛納	戛 納
澁	澁
侞	侞
焦洗	焦 洗
布依语	布 依 语
结城	结 城
細腰貓	細 腰 貓
碜	碜
侵害	侵 害
楼下	楼 下
敢咧	敢 咧
朗肚褲	朗 肚 褲
彩色平光隐形眼镜	彩 色 平 光 隐 形 眼 镜
培補	培 補
篆字	篆 字
地中海贫血	地 中 海 贫 血
哈佛逗號	哈 佛 逗 號
明体	明 体
惺鬆	惺 鬆
異性	異 性
巴比妥	巴 比 妥
恬不知耻	恬 不 知 耻
奠仪	奠 仪
鐵鍬	鐵 鍬
意爱	意 爱
頭面	頭 面
癭	癭
曠工	曠 工
時機	時 機
大衆傳播媒介	大 衆 傳 播 媒 介
喉返神經	喉 返 神 經
衛冕	衛 冕
特特裡	特 特 裡
截然不同	截 然 不 同
穆棱	穆 棱
听狱	听 狱
人声鼎沸	人 声 鼎 沸
鎩羽	鎩 羽
雪堆	雪 堆
红豆雪	红 豆 雪
𪚎	𪚎
chai-iáⁿ	c h a i - i á ⁿ
千禧	千 禧
一时三刻	一 时 三 刻
抱厦	抱 厦
倒帶	倒 帶
險急	險 急
美聲	美 聲
涉事	涉 事
進犯	進 犯
大内宣	大 内 宣
迷糊	迷 糊
鍤刀	鍤 刀
辎重	辎 重
𰓄	𰓄
茶館	茶 館
錯峰	錯 峰
𫟿	𫟿
囑	囑
白色人種	白 色 人 種
荡覆	荡 覆
查埔朋友	查 埔 朋 友
磅仔秤	磅 仔 秤
夜不歸宿	夜 不 歸 宿
跌落地揦返拃沙	跌 落 地 揦 返 拃 沙
門子	門 子
博深	博 深
对虾	对 虾
忲	忲
敎師節	敎 師 節
呈阅	呈 阅
甘油磷脂	甘 油 磷 脂
梎	梎
黨衛隊	黨 衛 隊
哥德堡	哥 德 堡
斐波那契螺旋線	斐 波 那 契 螺 旋 線
膨脹主義	膨 脹 主 義
诸城	诸 城
婺剧	婺 剧
光壓	光 壓
現在時	現 在 時
克星	克 星
後月日	後 月 日
大码	大 码
乘虛而入	乘 虛 而 入
鋼綫	鋼 綫
𬮪	𬮪
数码相机	数 码 相 机
夜更	夜 更
恭迎	恭 迎
補偏救弊	補 偏 救 弊
必應	必 應
射綫	射 綫
邢川	邢 川
绷紧	绷 紧
苗人	苗 人
豆壳	豆 壳
听障	听 障
前镇	前 镇
離綫	離 綫
分散式阻断服务攻击	分 散 式 阻 断 服 务 攻 击
滿浦	滿 浦
患儿	患 儿
纾解	纾 解
带动	带 动
美聲唱法	美 聲 唱 法
查渎	查 渎
誆牽	誆 牽
市場部	市 場 部
辭書	辭 書
飛鳶	飛 鳶
恍忽	恍 忽
双双	双 双
恋殖	恋 殖
入室盜竊	入 室 盜 竊
瑙	瑙
意第绪语	意 第 绪 语
𱋾	𱋾
荷蘭門	荷 蘭 門
斗碗儿	斗 碗 儿
掴	掴
马加丹	马 加 丹
解析函數	解 析 函 數
妈麻马骂	妈 麻 马 骂
落臺	落 臺
𧻲	𧻲
附會	附 會
涐	涐
碘	碘
常見問題	常 見 問 題
混沌	混 沌
庄頭	庄 頭
小偷兒	小 偷 兒
亞太	亞 太
尿兜	尿 兜
空頭支票	空 頭 支 票
老奶奶	老 奶 奶
訶護	訶 護
志丹	志 丹
阿驿	阿 驿
风龟	风 龟
抽样	抽 样
莊仔	莊 仔
花飾	花 飾
掖種	掖 種
刨花	刨 花
癊	癊
诸葛	诸 葛
威尔克斯-巴里	威 尔 克 斯 - 巴 里
乌牌擦	乌 牌 擦
哌啶	哌 啶
颠茄酊	颠 茄 酊
咘	咘
賢人	賢 人
古體	古 體
作园的	作 园 的
流行语	流 行 语
乳蛋糕	乳 蛋 糕
艰钜	艰 钜
工潮	工 潮
毛絲鼠	毛 絲 鼠
蒼鬱	蒼 鬱
台燈	台 燈
矢	矢
宮廷	宮 廷
好字運	好 字 運
药茶	药 茶
黏膜层	黏 膜 层
报话员	报 话 员
放虹	放 虹
內在美	內 在 美
䞔	䞔
翭	翭
布茲卡茲	布 茲 卡 茲
耺	耺
菟丝	菟 丝
南腔北調	南 腔 北 調
祖傳	祖 傳
皇家同花顺	皇 家 同 花 顺
毛员鼓	毛 员 鼓
扬子	扬 子
有心人	有 心 人
抱撮	抱 撮
里吗儿的	里 吗 儿 的
㗂	㗂
基质	基 质
吹拂	吹 拂
密克罗尼西亚	密 克 罗 尼 西 亚
祧	祧
凉爽	凉 爽
玛丽亚	玛 丽 亚
一吐爲快	一 吐 爲 快
偷看	偷 看
催	催
𠇻	𠇻
陪床	陪 床
计数机	计 数 机
齿岸	齿 岸
卑贱	卑 贱
渾樸	渾 樸
入座	入 座
燭仔	燭 仔
哭哭	哭 哭
右心衰	右 心 衰
值当	值 当
吂曾	吂 曾
濟濟一堂	濟 濟 一 堂
沒心沒肺	沒 心 沒 肺
好心	好 心
吠陀梵语	吠 陀 梵 语
咳嗽	咳 嗽
湿气	湿 气
尻脊𩩍	尻 脊 𩩍
哥爾夫球	哥 爾 夫 球
佼	佼
声空	声 空
衣食	衣 食
相仝	相 仝
否决	否 决
採光	採 光
馬布	馬 布
童颜鹤发	童 颜 鹤 发
以利沙	以 利 沙
不痛不痒	不 痛 不 痒
閾	閾
夃	夃
活現	活 現
人臉彩繪	人 臉 彩 繪
軍團	軍 團
藏污納垢	藏 污 納 垢
啫喱	啫 喱
剩饭	剩 饭
大綱	大 綱
东岳庙	东 岳 庙
杳無人煙	杳 無 人 煙
出题	出 题
接生婆	接 生 婆
入面	入 面
中產階級	中 產 階 級
異心	異 心
麕	麕
僵	僵
榔坪	榔 坪
駐錫	駐 錫
松花皮蛋	松 花 皮 蛋
斧头边	斧 头 边
通婚	通 婚
餐椅	餐 椅
鰦	鰦
变计	变 计
悲泣	悲 泣
树身	树 身
烏程	烏 程
第一次	第 一 次
鱼肚白	鱼 肚 白
白种人	白 种 人
電椅	電 椅
保身	保 身
拜受	拜 受
氧化态	氧 化 态
緙絲	緙 絲
鍈	鍈
但必過	但 必 過
手黏	手 黏
忘我	忘 我
沖帳	沖 帳
攝氏度	攝 氏 度
躲懒	躲 懒
夏季	夏 季
瘦	瘦
独处	独 处
打脈	打 脈
邊緣系統	邊 緣 系 統
葉利欽	葉 利 欽
布达佩斯	布 达 佩 斯
歷史意義	歷 史 意 義
中立主义	中 立 主 义
家里的	家 里 的
剧本杀	剧 本 杀
貝南	貝 南
家裏的	家 裏 的
停泊島	停 泊 島
三陪	三 陪
直角引號	直 角 引 號
藏歌	藏 歌
撞鬼	撞 鬼
鼓楼	鼓 楼
獻開	獻 開
飞语	飞 语
宝船	宝 船
開場白	開 場 白
拈花惹草	拈 花 惹 草
調遣	調 遣
假山	假 山
传疑	传 疑
好樣的	好 樣 的
地磁場	地 磁 場
丏	丏
收埋	收 埋
潖	潖
御酒	御 酒
般若心经	般 若 心 经
碘仿	碘 仿
水痘	水 痘
經辦	經 辦
傻話	傻 話
山岗子	山 岗 子
歸天	歸 天
千不该，万不该	千 不 该 ， 万 不 该
甲酰胺	甲 酰 胺
南侗	南 侗
鲨鱼牙	鲨 鱼 牙
够额	够 额
牽手的	牽 手 的
富縣	富 縣
不识庐山真面目	不 识 庐 山 真 面 目
胡饼	胡 饼
密电	密 电
季世	季 世
踩街	踩 街
哈博罗内	哈 博 罗 内
馑	馑
此類	此 類
䌾	䌾
快件	快 件
川黑	川 黑
去顫	去 顫
锅碗瓢盆	锅 碗 瓢 盆
唸書	唸 書
时季	时 季
芝脚糖	芝 脚 糖
后盾	后 盾
黑钨矿	黑 钨 矿
视图	视 图
鱼脍	鱼 脍
卝	卝
黃綠醫生	黃 綠 醫 生
富山	富 山
廿三	廿 三
喊叫	喊 叫
英仙座	英 仙 座
赴时	赴 时
鎮	鎮
決一死戰	決 一 死 戰
額爾齊斯	額 爾 齊 斯
镏	镏
茶话会	茶 话 会
将心比心	将 心 比 心
宽恕	宽 恕
可樂定	可 樂 定
䝤	䝤
期满	期 满
整裝	整 裝
养鸟	养 鸟
寶天曼	寶 天 曼
濺尿	濺 尿
鳥牙	鳥 牙
共情	共 情
布陣	布 陣
隔舱	隔 舱
魔芋	魔 芋
食管炎	食 管 炎
马大哈	马 大 哈
沃门	沃 门
南京大屠殺	南 京 大 屠 殺
无共款	无 共 款
氯化镁	氯 化 镁
榮華富貴	榮 華 富 貴
雜色狼	雜 色 狼
南湖山庄	南 湖 山 庄
調羹	調 羹
蟯	蟯
詩賦	詩 賦
凭凭	凭 凭
盡頭	盡 頭
口部	口 部
速錄機	速 錄 機
茅利塔尼亞	茅 利 塔 尼 亞
換行	換 行
炮仔芯	炮 仔 芯
煙囪	煙 囪
稳重	稳 重
指環	指 環
導水管周圍灰質	導 水 管 周 圍 灰 質
大军	大 军
贪字得个贫	贪 字 得 个 贫
àm-tǹg	à m - t ǹ g
喙尽臭	喙 尽 臭
鲈鲙	鲈 鲙
吊烏	吊 烏
㢉	㢉
宏旨	宏 旨
衞生丸子	衞 生 丸 子
润泽	润 泽
薯泥	薯 泥
荡失	荡 失
排箇	排 箇
鯢	鯢
闪击	闪 击
三十六計	三 十 六 計
𫂃	𫂃
乃朝后头	乃 朝 后 头
蚊怕贴	蚊 怕 贴
孝靈皇帝	孝 靈 皇 帝
外调	外 调
㦱	㦱
二水	二 水
联俄	联 俄
黄釉	黄 釉
土鲁斯	土 鲁 斯
拍青仔	拍 青 仔
讲美	讲 美
當作	當 作
錢荒	錢 荒
换言之	换 言 之
𰵲	𰵲
囚徒	囚 徒
惡報	惡 報
馬球	馬 球
雲呢拿	雲 呢 拿
高跟兒鞋	高 跟 兒 鞋
𧾁外头	𧾁 外 头
孜	孜
扶手电梯	扶 手 电 梯
雄雞	雄 雞
朶	朶
旁旁	旁 旁
黄金时间	黄 金 时 间
斗趣儿	斗 趣 儿
㻬	㻬
松露巧克力	松 露 巧 克 力
NP难	N P 难
罌	罌
背脊骨	背 脊 骨
英巴格	英 巴 格
记录片	记 录 片
𩎁	𩎁
特别市	特 别 市
畲話	畲 話
榮枯	榮 枯
大事化小，小事化无	大 事 化 小 ， 小 事 化 无
蟬蚱	蟬 蚱
心路	心 路
雙寨	雙 寨
輔酶Ⅱ	輔 酶 Ⅱ
下葬	下 葬
卡那卡那富人	卡 那 卡 那 富 人
貓面	貓 面
游击	游 击
内积	内 积
流氓软件	流 氓 软 件
人类条件	人 类 条 件
咯血	咯 血
树人	树 人
艾特	艾 特
朣	朣
万用	万 用
㜹	㜹
云州	云 州
空气清新剂	空 气 清 新 剂
結語	結 語
澳门特别行政区	澳 门 特 别 行 政 区
歐姆古溫	歐 姆 古 溫
擽	擽
乐歌	乐 歌
爛仔	爛 仔
访华	访 华
巴巴儿地	巴 巴 儿 地
毛蝇	毛 蝇
治經	治 經
䳘	䳘
雞下拈	雞 下 拈
姊妹市	姊 妹 市
波多黎各自由邦	波 多 黎 各 自 由 邦
胡椒粉	胡 椒 粉
買一送一	買 一 送 一
昆明山海棠片	昆 明 山 海 棠 片
處	處
南风天	南 风 天
延后	延 后
纵子	纵 子
侮辱	侮 辱
遻	遻
土壤肥度	土 壤 肥 度
桥梓	桥 梓
充电线	充 电 线
紙紮	紙 紮
怒目	怒 目
观光业	观 光 业
山胡椒	山 胡 椒
秘魯	秘 魯
乙女游戲	乙 女 游 戲
急烧仔	急 烧 仔
青年语法学派	青 年 语 法 学 派
地质学家	地 质 学 家
骨炭	骨 炭
躏	躏
窜乱	窜 乱
绝灭	绝 灭
並用	並 用
看護婦	看 護 婦
事務員	事 務 員
支氣管氣喘	支 氣 管 氣 喘
𰵣	𰵣
頻顣	頻 顣
脑桥	脑 桥
蚣	蚣
燃气涡轮发动机	燃 气 涡 轮 发 动 机
黃河三角洲	黃 河 三 角 洲
小把爷	小 把 爷
正港	正 港
闭锁综合征	闭 锁 综 合 征
圆轱辘	圆 轱 辘
頂對	頂 對
凡立丁	凡 立 丁
金紙	金 紙
後婚兒	後 婚 兒
装饰品	装 饰 品
㩆	㩆
唱机	唱 机
中心體	中 心 體
饭团	饭 团
出頭天	出 頭 天
矬	矬
生杀予夺	生 杀 予 夺
泳帽	泳 帽
重心	重 心
解答	解 答
同一性	同 一 性
噴氣	噴 氣
指法	指 法
𧈀	𧈀
表面皿	表 面 皿
𰾽	𰾽
服務生	服 務 生
性別認知障礙	性 別 認 知 障 礙
逆向工程者	逆 向 工 程 者
遌	遌
下三爛	下 三 爛
欹空翹	欹 空 翹
伊伊稣斯	伊 伊 稣 斯
歷述	歷 述
发际线	发 际 线
爆滿	爆 滿
梊	梊
刚果（布）	刚 果 （ 布 ）
臭奶献味	臭 奶 献 味
南豆腐	南 豆 腐
騎樓	騎 樓
磁盤	磁 盤
薩拉姆	薩 拉 姆
正山小種	正 山 小 種
使妈	使 妈
哀启	哀 启
点头	点 头
浃渫	浃 渫
也是醉了	也 是 醉 了
花笼	花 笼
酒席	酒 席
歡容	歡 容
遮阳伞	遮 阳 伞
癸酸	癸 酸
叙事学	叙 事 学
左西替利嗪	左 西 替 利 嗪
飄泊	飄 泊
纵然	纵 然
黑夜	黑 夜
春秋三傳	春 秋 三 傳
頾	頾
八九不离十	八 九 不 离 十
见风转舵	见 风 转 舵
江汉	江 汉
民力	民 力
台湾黄杨	台 湾 黄 杨
刺杀	刺 杀
佛偈	佛 偈
远眺	远 眺
钩破	钩 破
洪宪	洪 宪
煙子	煙 子
滿地可	滿 地 可
駐馬店	駐 馬 店
出訪	出 訪
脚印子	脚 印 子
詩經	詩 經
貂	貂
鈦白	鈦 白
大魚大肉	大 魚 大 肉
坩埚	坩 埚
军公教	军 公 教
無足重輕	無 足 重 輕
津巴布韋	津 巴 布 韋
茶箩	茶 箩
锁定	锁 定
恩田	恩 田
讲穿	讲 穿
鄭場	鄭 場
專櫃	專 櫃
伪科学	伪 科 学
混账	混 账
手眼	手 眼
正体	正 体
